År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,989.7989999999998,3717.1800000000003,1632.121,105.071,9573.496,16017.662,6444.168
1991,924.7999999999998,3717.1800000000003,1632.1209999999999,101.071,7721.459999999999,14096.625,6375.166000000001
1992,859.792,3717.1800000000007,1632.1210000000003,76.347,9148.696,15434.133999999998,6285.436
1993,1211.6950000000002,3717.1800000000007,2055.9669999999996,104.831,8950.847000000002,16040.519000000002,7089.670000000002
1994,1647.0900000000004,3717.1800000000003,1474.267,107.989,7645.625,14592.150999999998,6946.524999999999
1995,2051.9840000000004,3717.1800000000003,1963.656,96.76299999999999,9341.21,17170.792,7829.58
1996,2561.682,3717.1800000000007,1960.5659999999998,70.18499999999999,6593.6810000000005,14903.293999999998,8309.611
1997,3265.383,3717.1800000000003,1943.111,77.729,10475.508999999996,19478.909,9003.399
1998,3346.0460000000007,3717.1800000000007,1798.5439999999999,151.631,9149.829000000002,18163.226,9013.402
1999,3006.6710000000003,3717.1800000000007,1745.568,193.79299999999998,7651.325,16314.538,8663.214
2000,2766.154000000001,3717.1800000000003,1574.0709999999997,203.96,8312.394999999999,16573.760000000002,8261.366000000002
2001,2776.3269999999993,5331.8589999999995,1336.0089999999998,198.55,7322.376000000002,16965.123,9642.749
2002,2991.277,5285.07,1364.105,257.629,7412.318,17310.395999999997,9898.081
2003,4097.577,5284.9389999999985,1399.0239999999997,185.93400000000003,7802.782000000001,18770.258,10967.476000000002
2004,3887.0179999999996,5271.36,1444.917,147.51600000000002,8422.561,19173.375,10750.813
2005,4636.964,5346.495000000001,1401.841,166.835,9838.169999999998,21390.301,11552.134000000002
2006,6359.0509999999995,5356.146999999998,1383.903,183.963,8280.568999999998,21563.628999999994,13283.062
2007,7089.332,5330.482,1340.9199999999998,224.19500000000002,8654.551000000001,22639.483,13984.931
2008,6887.6900000000005,5338.966999999999,1377.0620000000004,213.11100000000002,7700.547000000001,21517.378999999997,13816.830000000002
2009,7903.866,5326.588000000002,1475.1109999999999,255.107,8532.754,23493.425000000007,14960.675999999998
2010,8246.818,5339.467000000001,1469.7359999999999,627.235,6685.000999999998,22368.259,15683.258999999998
2011,9326.413000000002,5353.222,1459.0229999999997,299.207,9531.312,25969.177000000003,16437.868
2012,10473.0,5580.0,1465.0,223.0,9231.0,26972.0,17737.0
2013,8813.777,5625.939999999999,1474.793,605.832,7776.03,24296.375999999997,16520.343999999997
2014,11962.086956619096,4879.980385663731,1511.2007614875245,350.116,5036.036129877286,23739.420233647634,18703.384103770353
2015,8914.723999999998,5062.947,1553.0580000000002,332.9,9212.119999999999,25075.747000000003,15863.627
2016,10694.3899872653,4986.26356447782,1550.2863242070305,423.49,6185.852380546909,23840.28225649706,17654.42987595015
2017,8697.65267885702,5006.709376158393,1471.798352768268,614.3827,8127.149217093194,23917.692324876876,15811.468624646805
2018,12738.077909628139,4903.2601507463205,1432.6575451840174,512.4233999999999,5909.95933446736,25496.378340025836,19586.419005558473
2019,9814.851307212557,4931.694722135473,1500.642538556232,560.58,6449.162448276169,23256.931016180435,16807.768567904262
2020,12805.310285438853,4995.935235333365,1545.998711149036,607.1398,8143.258759875607,28097.642791796854,19954.384031921254
