År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,2843.793,4191.5470000000005,3270.446,1207.715,31320.774999999987,42834.27299999999,11513.499999999998
1991,2672.8680000000004,4186.436,3270.4460000000004,1161.897,23504.685,34796.317,11291.629999999997
1992,2501.918,4179.159000000003,3270.446,1122.722,27752.50699999999,38826.74800000001,11074.244000000002
1993,3383.96,4165.015000000002,3858.6459999999984,984.4739999999999,22712.55,35104.64200000001,12392.092999999997
1994,4174.900999999999,4155.809000000002,3790.129000000001,1202.603,24326.654,37650.093,13323.443000000005
1995,5417.217000000001,4155.746999999999,4705.969999999999,1182.914,25396.21000000001,40858.065,15461.853000000001
1996,6187.045000000001,4156.558,4536.667,1092.1979999999999,16592.622,32565.089000000007,15972.469000000003
1997,6602.007,4157.323,4494.628000000001,1243.702,24198.203,40695.86699999999,16497.662000000004
1998,7396.462999999997,4158.0880000000025,4601.451000000003,1485.416,22904.502999999997,40545.92200000002,17641.419999999995
1999,7614.951999999998,4158.853000000002,3920.3730000000005,1223.6599999999999,25544.579,42462.416000000005,16917.836999999996
2000,9494.557,4159.618,3757.413,1562.902,25588.589,44563.074,18974.494000000006
2001,8298.012,7176.3499999999985,3697.1920000000005,1573.2699999999998,18895.685,39640.507,20744.816000000003
2002,7873.219999999998,7145.505000000001,3747.645,1123.284,21251.918000000005,41141.579,19889.655
2003,8884.773000000003,7141.674,3481.456000000002,596.6210000000001,21393.925000000007,41498.447000000015,20104.523
2004,9428.505000000001,7160.260999999998,3444.589,576.0670000000001,22520.230999999996,43129.65700000001,20609.426999999996
2005,9762.958999999997,7192.716,3664.1469999999986,559.1919999999999,27497.890999999978,48676.90799999999,21179.013
2006,10935.149000000001,7192.761,3814.8679999999995,523.28,22944.932000000004,45410.991,22466.050000000003
2007,13502.874,7204.476999999999,3800.0590000000007,505.595,26428.851,51441.85100000001,25013.003999999994
2008,14286.509,7211.092999999999,3713.9649999999997,391.70700000000005,25962.880000000005,51566.149,25603.270999999997
2009,15943.994000000002,7218.585,3923.1330000000003,450.711,21848.036000000004,49384.46,27536.418999999994
2010,15439.472999999998,7243.714999999998,4014.753,453.5690000000001,16463.664999999997,43615.175999999985,27151.508
2011,17481.804000000004,7265.073000000001,3992.5020000000004,433.912,25577.747000000007,54751.043,29173.295
2012,19071.0,7203.0,4004.0,456.0,24605.0,55335.0,30738.0
2013,17745.490000000005,7262.021999999999,4119.871999999999,486.38499999999993,21907.119000000006,51520.889999999985,29613.762000000002
2014,18887.673016073946,5708.725596240709,3963.1853660955053,429.75894719999997,18178.94807417427,47168.29099978442,28989.34292561017
2015,19533.053,6404.892000000001,4329.665000000001,416.73300000000006,28691.072999999993,59375.41000000002,30684.342
2016,19848.347009580717,6266.64670005584,4115.004298139622,437.68106484189997,21016.53927861229,51684.21835123037,30667.679072618084
2017,19418.48810736253,6307.6223906863015,4112.49548496513,543.6024968928001,23754.63094453529,54136.83942444206,30422.025961821608
2018,19133.331076852563,6573.1099733013425,3942.598793554431,509.0869533212999,18394.056388628607,48552.18318565823,30158.12679702963
2019,20614.78226983972,6568.679679641964,3897.8776976098993,491.23936799999996,15420.562886854765,46993.141901946336,31572.579015091575
2020,22021.635002502117,6553.758414153044,4420.677005007932,518.0143959999999,20643.333762448154,54157.418580111254,33514.084817663104
