År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,588.2970000000001,594.4579999999995,606.889,184.907,547.8619999999999,2522.417000000001,1974.5509999999988
1991,554.9420000000001,582.8509999999995,606.8890000000001,207.36700000000002,428.9429999999998,2380.9769999999985,1952.0369999999998
1992,521.5659999999999,561.2629999999998,606.8890000000001,170.25500000000005,482.59799999999996,2342.577999999998,1859.9719999999995
1993,704.8599999999997,521.319,768.8509999999999,209.30800000000005,439.843,2644.186999999999,2204.339000000001
1994,866.8690000000001,506.71999999999986,637.3559999999999,223.745,466.0540000000002,2700.7379999999994,2234.686
1995,1126.0870000000002,502.24699999999996,798.747,210.87699999999995,479.8639999999999,3117.8299999999995,2637.9660000000003
1996,1286.0930000000003,498.7429999999999,829.483,220.86899999999997,339.1889999999999,3174.369000000001,2835.181000000002
1997,1369.7869999999998,494.6899999999999,842.2840000000006,232.85399999999993,449.1389999999997,3388.7489999999984,2939.613
1998,1535.7540000000004,490.7079999999999,764.7570000000002,267.4390000000001,442.53599999999994,3501.190000000001,3058.6539999999995
1999,1585.8689999999997,487.10900000000004,684.944,202.69700000000003,485.56099999999986,3446.1800000000007,2960.6179999999995
2000,1821.2390000000003,483.52399999999994,632.1590000000003,203.25599999999994,503.06800000000004,3643.2469999999994,3140.1829999999977
2001,1598.3380000000004,510.5490000000001,601.2820000000005,221.62699999999998,400.41400000000004,3332.2109999999993,2931.7870000000007
2002,1528.4340000000004,494.329,569.0709999999998,223.53899999999996,411.1580000000001,3226.534000000002,2815.368
2003,1715.3549999999998,496.0940000000001,567.1399999999999,228.41399999999996,409.3990000000001,3416.397000000001,3007.0060000000003
2004,1812.6970000000001,490.0519999999999,540.2849999999999,247.59599999999998,428.19499999999994,3518.819000000002,3090.6239999999993
2005,1904.2479999999996,490.6530000000002,557.9509999999998,225.085,486.59200000000016,3664.5250000000015,3177.931
2006,2260.1619999999994,500.9750000000001,593.8050000000003,206.06799999999996,448.80100000000004,4009.813,3561.0150000000003
2007,2590.4800000000005,493.238,602.012,222.281,489.72799999999995,4397.735,3908.0109999999995
2008,2607.322,477.53299999999996,604.1349999999999,241.50900000000004,495.0850000000001,4425.5830000000005,3930.5079999999994
2009,2882.0259999999994,467.06899999999996,605.1830000000001,239.734,431.10400000000016,4625.110000000003,4194.009000000001
2010,2757.141999999999,467.38400000000024,627.2239999999999,271.472,356.2220000000002,4479.449999999998,4123.227000000002
2011,2979.6499999999996,451.4749999999997,620.1979999999999,235.17499999999998,480.576,4767.075000000002,4286.498000000001
2012,3234.808,486.48,620.3750000000001,247.61699999999996,461.1429999999998,5050.422000000001,4589.279
2013,3015.926,513.5159999999998,631.7620000000005,182.92599999999996,430.20400000000006,4774.332000000001,4344.127999999999
2014,3216.136885874674,431.8027701916594,634.6412454927705,166.14290857204,323.251607471204,4771.975417602344,4448.723810131144
2015,3331.097,512.1509999999997,650.6140000000004,120.723,516.303,5130.889999999998,4614.585999999999
2016,3374.3226031553,512.1971250692046,670.8615594516172,161.04968481024798,347.73575931034406,5066.166731796713,4718.43097248637
2017,3304.61796452197,514.0493149647277,662.7219533894814,154.90000757326698,382.2087851056137,5018.498025555061,4636.289240449449
2018,3256.317179705739,401.5475160757994,679.7867169526786,178.26726262825798,315.672305803497,4831.590981165973,4515.918675362473
2019,3512.679813755997,388.0543165504632,663.052958728309,159.2426787549964,288.23273313865724,5011.262500928426,4723.02976778977
2020,3733.136095735631,417.78109621031206,670.5154695373084,151.5360316277166,350.11433271299467,5323.083025823961,4972.968693110969
