År,Akvakultur,Jordbruk,Befolkning,Industri,Bakgrun,Totalt,Menneskeskapt
1990,144.918,18.344,49.56599999999998,0.0,135.04000000000002,347.866,212.82700000000003
1991,128.52599999999998,18.343999999999998,49.56599999999998,0.0,92.872,289.3,196.43200000000002
1992,112.12800000000003,18.343999999999998,49.56599999999998,0.809,112.24099999999999,293.08900000000006,180.847
1993,160.06500000000003,18.343999999999998,52.187,0.803,96.64900000000003,328.04599999999994,231.397
1994,201.938,18.343999999999998,50.87800000000001,0.8480000000000001,97.13299999999998,369.141,272.006
1995,249.448,18.343999999999998,61.28600000000001,3.9630000000000005,106.80499999999999,439.84899999999993,333.04400000000004
1996,293.515,18.343999999999998,59.427,3.959,66.77799999999999,442.01999999999987,375.24099999999993
1997,344.15299999999996,18.343999999999998,61.081,4.417,103.29799999999999,531.2879999999999,427.9910000000001
1998,352.7480000000001,18.343999999999998,62.173000000000016,4.209,94.528,532.003,437.4730000000001
1999,385.37300000000005,18.343999999999998,56.336,4.239,104.564,568.856,464.292
2000,387.553,18.343999999999998,52.57200000000001,4.207,104.225,566.905,462.67800000000017
2001,399.44100000000003,44.89999999999999,47.535000000000004,4.176,70.99500000000002,567.051,496.053
2002,408.515,44.89999999999999,48.94500000000001,5.578,83.912,591.854,507.9390000000001
2003,463.52599999999995,44.96999999999999,48.199,2.6,83.322,642.6140000000001,559.296
2004,475.527,44.73,49.891999999999996,8.234,91.286,669.672,578.3829999999999
2005,482.48400000000004,44.89999999999999,48.33300000000001,5.301,119.51599999999999,700.5369999999999,581.0190000000001
2006,602.747,45.07,47.821999999999996,5.661,97.264,798.5680000000001,701.3020000000001
2007,633.5289999999999,44.89999999999999,44.50999999999999,4.667,109.66,837.2690000000001,727.609
2008,611.2850000000001,44.89999999999999,45.946000000000005,3.044,104.30799999999999,809.4849999999999,705.18
2009,685.307,44.663,46.848,4.305,88.07400000000001,869.1999999999998,781.1279999999998
2010,724.847,44.663,45.50299999999999,24.842,67.627,907.4850000000001,839.857
2011,778.511,44.356,43.291,4.482,111.88400000000001,982.524,870.644
2012,791.4429999999999,45.52399999999999,42.830999999999996,17.084,98.27700000000002,995.157,896.88
2013,787.5700000000002,44.739000000000004,43.388999999999996,4.742,85.98199999999999,966.4170000000001,880.4350000000002
2014,833.4780234250434,38.85696428738835,47.11634432644513,3.5540999999999996,60.172055441611846,983.1774874804887,923.005432038877
2015,825.194,50.75599999999999,52.153999999999996,2.6,114.752,1045.453,930.7009999999999
2016,846.1362473056699,46.0202168393715,53.119296400028006,5.61086,81.148055754373,1032.0346762994425,950.8866205450696
2017,820.3172283282371,47.085995474426795,50.87500693265228,5.95514,85.59997712570983,1009.8333478610263,924.2333707353164
2018,793.149516782152,45.478949355015615,51.47052232268468,5.523408,66.72819466537557,962.350591125228,895.6223964598523
2019,883.553776387174,45.49243015426956,47.027111985033855,3.8131499999999994,53.07242575010105,1032.9588942765786,979.8864685264774
2020,997.1883735086737,45.66418505692258,52.452015067106196,4.418324,70.31558134892957,1170.0384789816324,1099.7228976327028
