,nr,navn,etablert,type,komnr,plassering,miljo,kap,mh,midl,lengde,bredde,regine
23,10513,NEDRE KVARV,1986.0,PERMANENT,1845,SJØ,SALTVANN,5400.0,TN,,67.458487,15.511583,166.61
24,10518,HORSVÅGEN,1984.0,PERMANENT,1849,SJØ,SALTVANN,2340.0,TN,,68.020665,15.306459,170.810
25,10536,HØGHOLMEN,1981.0,PERMANENT,1915,SJØ,SALTVANN,2700.0,TN,,69.028881,16.484786,187.1
26,10544,FLAKSTADVÅG,1985.0,PERMANENT,1928,SJØ,SALTVANN,3600.0,TN,,69.186917,17.01255,195.20
27,10545,SUNDNESVIKA,1973.0,PERMANENT,1928,SJØ,SALTVANN,1800.0,TN,,69.335825,17.0799,195.42
28,10550,SKARDBERGVIKA,1984.0,PERMANENT,1919,SJØ,SALTVANN,3120.0,TN,,68.728497,17.30713,190.12
29,10611,MARØYA,1981.0,PERMANENT,2014,SJØ,SALTVANN,2700.0,TN,,70.250855,21.700054,211.35
30,10614,KRÅKEVIK,1987.0,PERMANENT,2012,SJØ,SALTVANN,3480.0,TN,,70.261358,23.32985,213.410
31,10616,VINNALANDET,1982.0,PERMANENT,2004,SJØ,SALTVANN,3480.0,TN,,70.576089,23.414631,215.6
32,10635,TOKNEBUKTNESET,1987.0,PERMANENT,2017,SJØ,SALTVANN,2700.0,TN,,70.576663,24.072938,217.2
33,10660,SKINNSTAKKVIKA,2008.0,PERMANENT,2018,SJØ,SALTVANN,780.0,TN,,70.887113,24.92818,220.51
34,10149,RAFDAL,1987.0,PERMANENT,1211,SJØ,SALTVANN,2340.0,TN,,59.789129,6.17753,042.220
35,10181,OKSEBÅSEN V,1984.0,PERMANENT,1532,SJØ,SALTVANN,3120.0,TN,,62.5174,6.15805,101.73
36,10183,BARSTADVIK,1998.0,PERMANENT,1520,LAND,SALTVANN,9.75,TN,,62.35837,6.263759,095.410
37,10197,OPSHAUGVIK,1988.0,PERMANENT,1525,SJØ,SALTVANN,3120.0,TN,,62.286344,6.989553,098.320
38,10212,BOGEN,1973.0,PERMANENT,1505,SJØ,SALTVANN,3120.0,TN,,63.077567,7.89705,110.11
39,10213,NAUSTNESET,1986.0,PERMANENT,1557,SJØ,SALTVANN,2340.0,TN,,62.943183,8.069945,109.1110
40,10216,SKÅREN,1987.0,PERMANENT,1571,SJØ,SALTVANN,3120.0,TN,,63.077698,8.196309,112.5
41,10223,BREMNESSVAET,1973.0,PERMANENT,1573,SJØ,SALTVANN,5460.0,TN,,63.39795,8.214317,115.10
42,10229,FÆTTEN,1974.0,PERMANENT,1571,SJØ,SALTVANN,3120.0,TN,,63.143167,8.4586,113.3
43,10232,MANNBRUHOLMEN,1974.0,PERMANENT,1620,SJØ,SALTVANN,5460.0,TN,,63.84735,8.536067,118.3
44,10240,ILSØYA Ø,1980.0,PERMANENT,1617,SJØ,SALTVANN,1560.0,TN,,63.651975,8.88687,117.4250
45,10256,BONDØYA,1977.0,PERMANENT,1750,SJØ,SALTVANN,2340.0,TN,,64.81873,10.73694,143.410
46,10275,AUSKARNES Ø,1987.0,PERMANENT,2014,SJØ,SALTVANN,2700.0,TN,,70.141216,22.363752,211.50
47,10276,SOMMARBUKT,1987.0,PERMANENT,2012,SJØ,SALTVANN,3480.0,TN,,70.075883,22.664548,211.91
48,10281,STORE KVALFJORD,1982.0,PERMANENT,2012,SJØ,SALTVANN,1800.0,TN,,70.319419,22.891904,214.1
49,10291,HISKHOLMEN,1974.0,PERMANENT,1219,SJØ,SALTVANN,2340.0,TN,,59.726932,5.145214,043.3
50,10292,LYKLINGHOLMEN N,1964.0,PERMANENT,1219,SJØ,SALTVANN,2340.0,TN,,59.714597,5.153753,043.3
