,anlegg_nr,anlegg_navn,etat,opprettet,nedlagt,type,kno,adresse,postnr,regine,lon_utl,lat_utl,lon_anl,lat_anl,status
0,1149.0036.01,FMC BIOPOLYMER AS,SFT,,,INDUSTRI,1149,Vormedalsvegen 301,5545.0,039.80,5.31868860295629,59.354188405368,5.31868860295629,59.354188405368,Aktiv
1,1520.0008.01,Ørsta Stål AS,MVAMR,,,INDUSTRI,1520,Skorgeura,6150.0,095.210,6.0430677331437,62.2135213553882,6.0430677331437,62.2135213553882,Aktiv
2,1531.0011.01,Vedde Sildeoljefabrikk AS,MVAMR,,,INDUSTRI,1531,Brevika Industriv 4,6018.0,101.41,6.24171800249247,62.4360906792031,6.24171800249247,62.4360906792031,Aktiv
3,1535.0001.01,"TINE MIDT-NORGE BA, Tresfjord",MVAMR,,,INDUSTRI,1535,,6391.0,102.61,7.12808041662339,62.5255290973877,7.12808041662339,62.5255290973877,Aktiv
4,1547.0005.01,Vikenco A.S,MVAMR,,,INDUSTRI,1547,Rindarøy,6480.0,106.430,6.92168874597435,62.7907613474559,6.92168874597435,62.7907613474559,Aktiv
5,1812.0003.01,"TINE NORD-NORGE, Sømna",MVANO,,,INDUSTRI,1812,,8920.0,146.310,12.2051493304667,65.3601683694753,12.2051493304667,65.3601683694753,Aktiv
6,0301.0232.01,TINE MEIERIET ØST BA - AVD. OSLO,MVAOA,,,INDUSTRI,301,Bedriftsveien 7,950.0,006.2B0,10.8653307736451,59.943849488096,10.8653307736451,59.943849488096,Aktiv
8,1111.0007.01,Titania AS,SFT,,,INDUSTRI,1111,,4380.0,026.3D,6.41280633580463,58.3321432327374,6.41280633580463,58.3321432327374,Aktiv
9,1119.0014.01,"NORSK PROTEIN AS, avd Grødaland",MVARO,,,INDUSTRI,1119,Grødaland,4365.0,028.23,5.59896671767317,58.6303574653653,5.59904249890021,58.635767514077,Aktiv
10,1120.0006.01,"HOFF NORSKE POTETINDUSTRIER BA, Jæren",MVARO,,,INDUSTRI,1120,Lalandsvegen 21,4353.0,028.4D,5.67585402067165,58.772907641354,5.67585402067165,58.772907641354,Aktiv
11,1135.0001.01,"ERAMET NORWAY AS, Sauda",SFT,,,INDUSTRI,1135,,4200.0,037.A0,6.36083253588652,59.6469648951789,6.36083253588652,59.6469648951789,Aktiv
12,1146.0004.01,"Gassco AS, Kårstø",SFT,,,INDUSTRI,1146,Bygnes,4250.0,039.52,5.51284877468434,59.2747329401791,5.51284877468434,59.2747329401791,Aktiv
13,1833.0007.01,Rio Doce Manganese Norway,SFT,,,INDUSTRI,1833,Svenskvn 20,8626.0,156.AA,14.1634940236161,66.3125575903796,14.1634940236161,66.3125575903796,Aktiv
14,1837.0006.01,"Yara Norge AS, Yara Glomfjord",SFT,,,INDUSTRI,1837,Hydro Glomfjord Industripark,8160.0,160.3210,13.9365095277646,66.8097635229646,13.9365095277646,66.8097635229646,Aktiv
15,1866.0004.01,Nordlaks Produkter AS,MVANO,,,INDUSTRI,1866,Industriveien 14,8450.0,184.120,14.955847831925,68.5734343657698,14.955847831925,68.5734343657698,Aktiv
16,1832.0018.02,"Nortura BA, Avd Bjerka",,,,INDUSTRI,1832,,,155.4A0,13.849721,66.149048,,,Aktiv
2344,1101.0009.01,Nortura Egersund,NORTURA SA AVD EGERSUND,,,INDUSTRI,,,,027.4,,,,,
2345,1160.0065.01,Fatland Ølen AS - slakteri,FATLAND ØLEN AS,,,INDUSTRI,,,,041.310,,,,,
2346,1517.0003.01,Norway Pelagic avd. Liavåg,NORWAY PELAGIC AS AVD LIAVÅG,,,INDUSTRI,,,,096.2120,,,,,
2347,1576.0023.01,Statoil ASA Tjeldbergodden Metanolfabrikk,STATOIL ASA AVD TJELDBERGODDEN METANOLFABRIKK,,,INDUSTRI,,,,113.210,,,,,
2445,4640.0003.01,Nortura Sogndal,,,,INDUSTRI,4640,,,077.32,7.103034,61.227347,,,
