År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
2018,4574,248,388,125,218,5552,5339
2019,4703,254,403,117,230,5706,5481
2020,5057,251,397,125,292,6121,5834
