År,Akvakultur,Jordbruk,Avløp,Industri,Bakgrunn,Totalt,Menneskeskapt
1990,301,58,0,0,3802,4160,366
1991,0,58,0,0,3964,4023,65
1992,238,58,0,2,4906,5203,304
1993,319,58,260,1,4398,5036,645
1994,233,58,315,2,3222,3829,614
1995,326,58,424,2,3938,4748,816
1996,313,58,456,1,4447,5276,836
1997,595,58,442,1,4455,5551,1103
1998,930,58,413,0,4047,5449,1409
1999,960,58,414,0,3838,5270,1439
2000,1520,58,395,0,4684,6657,1980
2001,1749,96,341,0,3675,5860,2192
2002,1702,95,314,0,3875,5986,2118
2003,1999,95,332,0,3865,6291,2433
2004,1646,95,337,0,3697,5776,2085
2005,1274,95,265,0,4362,5996,1641
2006,1260,95,260,0,3612,5226,1622
2007,1444,95,289,0,4312,6139,1835
2008,1591,95,286,0,3624,5596,1979
2009,2471,95,296,0,3439,6300,2868
2010,2573,94,285,0,3633,6585,2959
2011,2931,94,285,0,4000,7309,3316
2012,3750,96,292,53,3600,7791,4198
2013,4327,95,302,20,3790,8534,4750
2014,4156,85,294,42,3877,8454,4584
2015,3986,90,291,0,3762,8129,4374
2016,3952,90,259,26,3703,8030,4334
2017,4760,90,291,21,4940,10101,5168
2018,4376,96,420,118,3901,8911,5016
2019,5184,96,445,25,4006,9755,5757
2020,5508,96,402,31,5061,11098,6044
2021,6193,96,383,29,4081,10782,6708
